Doctor Name,Specialization,Doctor Info,Hospital/Chamber,Address,Appointment Days ,Fees,
Prof. Dr. A. B. M. Abdus Salam,Paediatrics (Child or Infant any disease),"Professor & Head, Dept. of Paediatrics Cardiology, National Cardiovascular Diseases (RIDROG Hospital). MBBS, FCPS (Paediatrics), MD (Paediatrics). Interventional Paediatrics Cardiologist.","Square Hospitals Limited, Main Branch","18F, Bir Uttam Qazi Nuruzzaman Road, Panthapath, Dhaka",(Not Specified),New Patient: 1000 TK.,
Assoc. Prof. Dr. Md. Sohidul Alam,"Cardiology (Heart, Cardiac Surgery, Cardiovascular, Hypertension, Blood Pressure)","Associate Professor, Dept. of Cardiology, Enam Medical College & Hospital, Savar. MBBS (Dhaka), DIH (Nipsom), D-Card (DU). Practicing in heart, cardiac surgery, cardiovascular, hypertension, blood pressure diseases.","Fair Lab Limited, Main Branch","20/5, Block B, Babor Road, Mohammadpur, Dhaka","Thu, Fri, Sat",New Patient: 500 TK.,
Assoc. Prof. Dr. Florida Rahman,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Associate Professor, Dept.of Reproductive endocrinology & Infertility, DMCH. MBBS (SSMC), DGO (BSMMU), FCPS, MS (BIRDEM-Dhaka University). Gynae & Obs. specialist for 15+ years. Laparoscopic surgeon, infertility and reproductive endocrinology specialist.","Health and Hope Hospital, Main Branch","152/1/H Green Road, Panthapath, Dhaka","Thu, Fri, Sat",New Patient: 1000 TK.,
Assoc. Prof. Dr. Florida Rahman,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Associate Professor, Dept.of Reproductive endocrinology & Infertility, DMCH. MBBS (SSMC), DGO (BSMMU), FCPS, MS (BIRDEM-Dhaka University). Gynae & Obs. specialist for 15+ years. Laparoscopic surgeon, infertility and reproductive endocrinology specialist.",Al-Baraka Diagnostic Center,"Saheed Faruk Road, Jatrabari, Dhaka",(Not Specified),New: 1000 TK. Returning: 800 TK.,
Dr. Noor Riffat Ara,"Endocrinology (Diabetes, Hormones, Thyroid, etc.)","Medical Officer, Dept. of Endocrinology, National Institute of Chest Disease and Hospital. MBBS, MPH, CCD. Practicing in Diabetes, Hormones, Thyroid etc. Trained in Radiotherapy and Anesthesia.",Sohag Pharmacy,"Tejkuni Para, Tejgaon, Dhaka","Thu, Fri, Sat",New: 300 TK. Follow-up/Report: 100 TK.,
Asst. Prof. Dr. A. H. M. Aktaruzzaman,"Endocrinology (Diabetes, Hormones, Thyroid, etc.)","Assistant Professor, Dept. of Endocrinology, NITOR. MBBS (Dhaka), MCPS (Medicine), MD (Endocrinology- BIRDEM). Medicine, Diabetes, Thyroid & Hormone Specialist. Member of American Association of Clinical Endocrinologist (MACE).","Digilab Medical Services Ltd., Main Br.","House- 2, Road- 6, Block- A, Section-10, Mirpur, Dhaka",(Not Specified),(Not Specified),
Dr. Mashfikul Hasan,"Endocrinology (Diabetes, Hormones, Thyroid, etc.)","Consultant, Dept of Endocrinology, National Institute of Neurosciences & Hospital. MBBS, MCPS (Medicine), MD (Endocrinology). Specialist in Diabetes, Hormones, Thyroid etc.",Banani Clinic Ltd.,"H-116, Rd.-15, Blc.-C, Banani, Dhaka","Thu, Fri, Sat",New Patient: 500 TK.,
Prof. Dr. Mahmudul Haque,"Endocrinology (Diabetes, Hormones, Thyroid, etc.)","Professor, Dept. of Endocrinology (Holy Family Red Crescent Hospital). MBBS (DMC), MD (Endo). Specialist in Endocrinology. Member of American Endocrinology Society.","Islami Bank Central Hospital, Kakrail Branch","30, Anjuman-e-Mofidul Islam Road, VIP Rd, Kakrail, Dhaka","Thu, Fri, Sat",New Patient: 800 TK.,
Prof. Dr. Mahmudul Haque,"Endocrinology (Diabetes, Hormones, Thyroid, etc.)","Professor, Dept. of Endocrinology (Holy Family Red Crescent Hospital). MBBS (DMC), MD (Endo). Specialist in Endocrinology. Member of American Endocrinology Society.","Bangladesh Specialized Hospital Ltd., Main Br.","21 (Mirpur Road), Shyamoli, Dhaka",(Not Specified),(Not Specified),
Asst. Prof. Dr. A. M. Abdullah Al Yousuf,"Gastroenterology (Stomach, Pancreas and Intestine)","Assistant Professor, Dept. Of Gastroenterology, Dhaka Central International Medical College & Hospital. MBBS, MD (Hepatology). Specialist in Liver, Gastroenterology, Hepatology.","Dhaka Central International Medical College & Hospital, Main Br.","2/1, Ring Road, Shyamoli, Dhaka","Thu, Fri, Sat",New Patient: 600 TK.,
Assoc. Prof. Dr. Md. Royes Uddin,"Gastroenterology (Stomach, Pancreas and Intestine)","Associate Professor, Dept. of Gastroenterology, Sir Salimullah Medical College Mitford Hospital. MBBS, FCPS (Medicine), MCPS, MD (Gastroenterology). Specialist in Gastroenterology.",Chamber 1,"B66, DIT Road, Malibag Choudhury para, near abul hotel, Malibagh, Dhaka","Thu, Fri, Sat",(Not Specified),
Assoc. Prof. Dr. Ferdows Ahmed Chowdhury,"Gastroenterology (Stomach, Pancreas and Intestine)","Associate Professor, Dept. of Gastroenterology, Shahabuddin Medical College Hospital. MBBS, MSc (Gastroenterology) (London), CCD (Birdem). Gastroenterology & Diabetes Specialist. Fellowship in Endoscopy (Thailand).","Popular Diagnostic Center Ltd, Badda Branch","Badda, Dhaka","Thu, Fri, Sat",New Patient: 600 TK,
Dr. A. Q. M. Mobin,"Gastroenterology (Stomach, Pancreas and Intestine)","Consultant, Dept. Of Gastroenterology, BSMMU. MBBS, FCPS (Medicine), MD (Gastroenterology). Pancreatic Surgeon & Gastroenterologist. BCS( Health).","South East Model Hospital, Main Branch","28/29 DIT Road, Postogola, Jurain, Dhaka","Thu, Fri, Sat",New Patient: 600 TK.,
Dr. Indrojit Kumar Dotto,"Gastroenterology (Stomach, Pancreas and Intestine)","Consultant, BIRDEM General Hospital. MBBS (Dhaka), FCPS, MD (Gastro). Practicing in Gastroenterology.","Nawabganj Clinic & Diagnostic Center, Main Branch","Borkotia Super Market, Nawabganj, Dhaka","Thu, Fri, Sat",(Not Specified),
Assoc. Prof. Dr. Naima Sharmin Hoque,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Associate Professor, Dept. of Gynae & Obs, Zainul Haque Sikder Womens' Medical College. MBBS, FCPS (Gynae & Obs), Fellow Gynae Endoscopic Surgery (India), FIAOG. Practicing in pregnancy, menstrual, uterus diseases.",Padma General Hospital Ltd,"Kathalbagan, Dhaka","Thu, Fri, Sat",New Patient: 1000 TK.,
Assoc. Prof. Dr. Naima Sharmin Hoque,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Associate Professor, Dept. of Gynae & Obs, Zainul Haque Sikder Womens' Medical College. MBBS, FCPS (Gynae & Obs), Fellow Gynae Endoscopic Surgery (India), FIAOG. Practicing in pregnancy, menstrual, uterus diseases.",Japan Bangladesh Friendship Hospital,"55, Satmasjid Road (Zigatola Bus Stand), Dhanmondi, Dhaka",(Not Specified),New Patient: 1000 TK.,
Assoc. Prof. Dr. Naima Sharmin Hoque,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Associate Professor, Dept. of Gynae & Obs, Zainul Haque Sikder Womens' Medical College. MBBS, FCPS (Gynae & Obs), Fellow Gynae Endoscopic Surgery (India), FIAOG. Practicing in pregnancy, menstrual, uterus diseases.","Medinova Medical Services Ltd. (Dhanmondi), Main Br.","House # 71/A, Road # 5/A, Dhanmondi, Dhaka",(Not Specified),New Patient: 1000 TK.,
Assoc. Prof. Dr. Hazera Khatun,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Associate Professor, Dept. of Gynae & Obs, Shaheed Suhrawardy Medical College Hospital. MBBS, MCPS, MS (Gynee & Obs). Pregnancy, Menstrual, Uterus Specialist.",Al - Shafi Hospital,"House # 9, Road # 6, Sector- 10/A, Mirpur, Dhaka","Thu, Fri, Sat",New: 800 TK. Returning: 400 TK. Follow-up: 100 TK.,
Dr. Rabeya Sultana (Jolly),"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Consultant, Dept. of Gynae & Obs, Sir Salimullah Medical College Mitford Hospital. MBBS (DU), MCPS, FCPS (Gynae & Obs). Specialist Gynae & Obs. BCS (Health).","Dhaka Paediatric - Neonatal & General Hospital Ltd., Main Branch","House # 4/4-A, Block- E, (Near 'Lalmatia Women's College'), Lalmatia, Dhaka","Thu, Fri, Sat",New: 500 TK. Returning: 300 TK. Follow-up: 200 TK.,
Dr. Rabeya Sultana (Jolly),"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Consultant, Dept. of Gynae & Obs, Sir Salimullah Medical College Mitford Hospital. MBBS (DU), MCPS, FCPS (Gynae & Obs). Specialist Gynae & Obs. BCS (Health).","Life Aid Specialized Hospital Ltd., Main Branch","613/2, Kazipara, Begum Rokeya Sarani, Mirpur, Dhaka",(Not Specified),New: 500 TK. Returning: 300 TK. Follow-up: 200 TK.,
Assoc. Prof. Dr. Tahmeena,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Associate Professor, Dept. of Gynae & Obs, Holy Family Red Crescent Medical College Hospital. MBBS, FCPS (Gynae), MCPS. Specialist in gynae & obs. Trained in IUI, IVF, ICSI (Mumbai, India).",Medinova Medical Services Ltd. (Malibagh),"Hosaf Tower, 6/9 Outer Circular Road, Malibagh More, Malibagh, Dhaka","Thu, Fri, Sat",New Patient: 600 TK.,
Dr. Fahmida Hoque,"Gynaecology and Obstetrics (Pregnancy, Menstrual, Uterus, Female)","Consultant, Dept. of Gyne & Obs, Sir Salimullah Medical College (Mitford Hospital). MBBS, FCPS, MS (Gynae & Obs). Practicing in pregnancy, menstrual, uterus, female diseases. BCS (Health).",New Medi Fair Diagnostic,"CB-211/7, Jasmin Tower, Kachukhet Main Road (Near Mirpur-14 Dental College), Dhaka Cantonment, Dhaka","Thu, Fri, Sat",(Not Specified),
Assoc. Prof. Dr. Md. Belayet Hossain,Haematology (Blood related diseases),"Associate Professor, Dept. of Haematology, Dhaka Shishu Hospital, Bangladesh Institute of Child Health. MBBS, FCPS (Haemo). Clinical Haematologist. Serving for 15 years.","Digilab Medical Services Ltd., Main Br.","House- 2, Road- 6, Block- A, Section-10, Mirpur, Dhaka","Thu, Fri, Sat",(Not Specified),
Prof. Dr. Md. Mahbubur Rahman,Haematology (Blood related diseases),"Professor and Head, Dept. of Hematology, National Institute of Cancer Research & Hospital. MBBS, FCPS, FACP, FRCP. Specialist in Clinical Hematology & Haematoncology. Pioneer in the field with extensive experience and leadership roles.",Universal Medical College & Hospital Ltd.,"74G/75, Peacock Square, New Airport Road, Mohakhali, Dhaka","Thu, Fri, Sat",New Patient: 1200 TK.,
Prof. Dr. Md. Mahbubur Rahman,Haematology (Blood related diseases),"Professor and Head, Dept. of Hematology, National Institute of Cancer Research & Hospital. MBBS, FCPS, FACP, FRCP. Specialist in Clinical Hematology & Haematoncology. Pioneer in the field with extensive experience and leadership roles.","Samorita Hospital Ltd., Main Br.","89/1, Panthapath, Dhaka",(Not Specified),New Patient: 1200 TK.,
Prof. Dr. Md. Anwarul Karim,Paediatrics (Child or Infant any disease),"Professor, Dept. of Paediatric Hematology & Oncology in BSMMU. MBBS, FCPS (Child), MD (Child). Pediatric, Medicine, Hematology, Oncology Specialist.","Health and Hope Hospital, Main Branch","152/1/H Green Road, Panthapath, Dhaka","Thu, Fri, Sat",New Patient: 1000 TK,
Dr. Md. Monirul Islam,Haematology (Blood related diseases),"Consultant, Delta Health Care, Mirpur. MBBS, FCPS. Specialist in Hematology.",Delta Health Care Mirpur Ltd.,"Mirpur Kendrio Mosjid and Madrasa Complex, Plot # 4-5, Section- 7, Mirpur, Dhaka","Thu, Fri, Sat",(Not Specified),
Asst. Prof. Dr. Mohammad Manirul Islam,Haematology (Blood related diseases),"Assistant professor, Department of Hematology, Dhaka Medical College Hospital. MBBS, FCPS (Hematology). Works in hematology and Bone Marrow Transplant unit. Higher training in BMT in USA & India. BCS in health.","Labaid Diagnostic Center Ltd., Mirpur Branch","Plot # 9, Block- B, Section # 1, Room- 707, Floor- 7th, Mirpur, Dhaka","Thu, Fri, Sat",New Patient: 600 TK.,
Asst. Prof. Dr. Mohammad Manirul Islam,Haematology (Blood related diseases),"Assistant professor, Department of Hematology, Dhaka Medical College Hospital. MBBS, FCPS (Hematology). Works in hematology and Bone Marrow Transplant unit. Higher training in BMT in USA & India. BCS in health.",IBN SINA Medical College & Hospital,"Kallayanpur, Dhaka",(Not Specified),New Patient: 600 TK.,
Asst. Prof. Dr. Mohammad Manirul Islam,Haematology (Blood related diseases),"Assistant professor, Department of Hematology, Dhaka Medical College Hospital. MBBS, FCPS (Hematology). Works in hematology and Bone Marrow Transplant unit. Higher training in BMT in USA & India. BCS in health.","Bangladesh Specialized Hospital Ltd., Main Br.","21 (Mirpur Road), Shyamoli, Dhaka",(Not Specified),(Not Specified),
Assoc. Prof. Dr. Md. Aminul Islam,Allergy & Immunology,"Associate Professor, Dept of Dermatology, Northern Int. Medical College Hospital. MBBS, FCPS (Skin & Allergy), MCPS (Skin & Allergy), CCD (Diabetes). Sex Specialist, Skin, Allergy, Diabetes Specialist.",Doctor Medical Consultation Center,"53, Lalkuthi 3rd Colony, Basupara, Mirpur, Dhaka","Tue,Wed,Thurs","Thu, Fri, Sat",New Patient: 500 TK.
Assoc. Prof. Dr. Md. Aminul Islam,Allergy & Immunology,"Associate Professor, Dept of Dermatology, Northern Int. Medical College Hospital. MBBS, FCPS (Skin & Allergy), MCPS (Skin & Allergy), CCD (Diabetes). Sex Specialist, Skin, Allergy, Diabetes Specialist.",Al-Manar Hospital (Pvt.) Ltd.,"5/4, Satmasjid Road (Opposite of Mohammadpur Physical Institute Field), Mohammadpur, Dhaka","Tue,Wed,Thurs",(Not Specified),New: 600 TK. Returning: 400 TK. Follow-up: 200 TK.
Prof. Dr. Moazzem Hossain,Allergy & Immunology,"Director & Prof. Dept. of Allergy & Immunology Filaria General Hospital. MBBS, M.Phil (Prof. Of Microbiology).",Filaria & General Hospital,"2 Zinzira Hospital Road, PO: Dairy Farm, Savar, Savar, Dhaka","Tue,Wed,Thurs","Thu, Fri, Sat",(Not Specified)
Prof. Maj. Dr. Anwar Husain,Allergy & Immunology,"Professor & Head, Dept. of Dermatology & VD, Ibn Sina Medical College. MBBS, MCPS, DDV. Specialist In Dermatology, Venereology & Cosmetic Surgery.",IBN SINA Medical College & Hospital,"1/1, Mirpur Road, Kallayanpur, Dhaka","Tue,Wed,Thurs","Thu, Fri, Sat",New Patient: 500 TK.
Dr. Abul Hasnat (Shipon),Allergy & Immunology,"Consultant, Dept. of Paediatrics, South East Model Hospital. MBBS (Dhaka), MD (Child-Last Part). Specialist in Pediatrics.","South East Model Hospital, Main Branch","28/29 DIT Road, Postogola, Jurain, Dhaka","Tue,Wed,Thurs","Thu, Fri, Sat",(Not Specified)
Dr. Abu Altaf Hossain,Medicine (All Diseases of Adults),"Chief Executive Officer, BRB Hospital Ltd. MBBS. Consultant of Respiratory Medicine (Chest Specialist) with 20+ years experience. Former Director, Medical College for Women & Children, Uttara. DTCD (UK), MPH (USA).","Medinova Medical Services Limited, Uttara","H # 11, Sec # 7, Sonargoan Janapath, Uttara, Dhaka",N/A,"Thu, Fri, Sat",New: 600 TK. Returning: 400 TK. Follow-up: 400 TK.
Dr. Md Tanvir Faysal,Medicine (All Diseases of Adults),"RMO, Dept. of Medicine, Holy Family Red Crescent Medical College & Hospital. MBBS, CCD (BIRDEM). General physician & Diabetologist. Fellow, Royal Society of Medicine, London(2014).",Khilgaon Health Point,"1423/1- A , Khilgaon, Dhaka (Beside Jhilpar Imanbag Masjid)",N/A,"Thu, Fri, Sat",New: 200 TK. Returning: 100 TK. Follow-up: 100 TK.
Assoc. Prof. Dr. Md. Ferdous Ur Rahaman,Medicine (All Diseases of Adults),"Associate Professor, Dept. of Internal Medicine, Bangabandhu Sheikh Mujib Medical University. MBBS, CCD (BIRDEM), FCPS (Medicine). Medicine & Diabetes Specialist.","Digilab Medical Services Ltd., Main Br.","House- 2, Road- 6, Block- A, Section-10, Mirpur, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 800 TK.
Dr. Lt. Col. Md. Ansar Ali Pramanik (Retd.),Medicine (All Diseases of Adults),"Consultant, Medicine, CMH (EX.). MBBS, MCPS (Medicine). 25 years of experience as Ex. Medicine Specialist in CMH, and for the Hon'ble President. Worked in CMH, BGB, and Saudi Arabia.","Digilab Medical Services Ltd., Main Br.","House- 2, Road- 6, Block- A, Section-10, Mirpur, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Dr. Md. Waes Koroni,Medicine (All Diseases of Adults),"Consultant, Dept. of Medicine, Shaheed Suhrawardy Medical College. MBBS, FCPS (Medicine). Kidney, Medicine & Diabetes Specialist. BCS (Health), CCD (Diabetics), CMUD (Ultra).","Rose Clinic & Diagnostic Center, Main Br.","Aricha Road (North side of Pakiza Mill), Savar, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 500 TK.
Dr. Mahmudul Hoq Chowdhury,Neonatology (New Born Issues),"Child Autism Specialist & Developmental Pediatrician, Dhaka Shishu Hospital. MBBS, DCH (BSMMU), DCH (Australia), FCPS (C ), Fellow in Paediatric Nutrition (USA), MPH (Child HEALTH). Specialist in Child Neurology & Autism.",H-Manirsha,"134/2, West Agargon, (60 Fit Road), Near GTCL Building, Agargaon, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 500 TK.
Dr. Mahmudul Hoq Chowdhury,Neonatology (New Born Issues),"Child Autism Specialist & Developmental Pediatrician, Dhaka Shishu Hospital. MBBS, DCH (BSMMU), DCH (Australia), FCPS (C ), Fellow in Paediatric Nutrition (USA), MPH (Child HEALTH). Specialist in Child Neurology & Autism.","Trauma Center, Main Branch","House# 22/8/A, Block-B, Mirpur Road , Shyamoli, Dhaka",N/A,(Not Specified),New Patient: 500 TK.
Dr. Md. Sarwar Jahan Molla,Neonatology (New Born Issues),"Consultant, Neonatology. MBBS (CMC), DCH (Ireland). Child Specialist (New Born & Children).",Chamber 1,"House- 1-2, Road- 17, Block- C, Section- 12, Mirpur, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Prof. Dr. Md. Khaled Noor,Paediatrics (Child or Infant any disease),"Professor, Dept. of Neonatalogy, BSMMU. MBBS, MCPS, FCPS (Paediatrics), MD (Neonatology). Neonatal and child Medicine Specialist. Fellow Newborn Medicine (AIIMS, New Delhi). DCH.","Dhaka Paediatric - Neonatal & General Hospital Ltd., Main Branch","House # 4/4-A, Block- E, (Near 'Lalmatia Women's College'), Lalmatia, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Dr. Abu Bakar Siddik,Neonatology (New Born Issues),"Consultant, Dept. of Child, Dhaka Shishu Hospital, Dhaka. MBBS, MD. Child Specialist.","Sima General Hospital & Diagnostic Center, Main Branch","B-22/22, Anandapur, Genda, Savar, Dhaka",N/A,"Thu, Fri, Sat",New Patient: 500 TK.
Asst. Prof. Dr. Iftekhar Ahmed,Neonatology (New Born Issues),"Assistant Professor, Dept. of Child, Shishu Matri-Shastho Institution, Matuail Dhaka. MBBS, DCH, CCD, MD (Child). Child Specialist.","Safe Aid General Hospital and Diagnostic Center Ltd., Main Branch","Sanir Akhra Bazar, Jatrabari, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Dr. Hasan Mahmud,"Nephrology (Kidney, Ureter, Urinary Bladder)","Assistant Registrar, Nephrology, National Institute of Kidney Diseases & Urology. MBBS, BCS (Health), MD. Kidney, Ureter, Urinary Bladder Surgery Practitioner. CCD (BIRDEM), PGT (Medicine, Kidney, Diabetes).",Radium Diagnostic Center,"Station Road, Tongi, Dhaka","Fri,Sat, Tue","Thu, Fri, Sat",(Not Specified)
Dr. Hasan Mahmud,"Nephrology (Kidney, Ureter, Urinary Bladder)","Assistant Registrar, Nephrology, National Institute of Kidney Diseases & Urology. MBBS, BCS (Health), MD. Kidney, Ureter, Urinary Bladder Surgery Practitioner. CCD (BIRDEM), PGT (Medicine, Kidney, Diabetes).",Chamber 2,"House 28, Road 3, Sector 11, Uttara, Dhaka",N/A,(Not Specified),(Not Specified)
Dr. Md. Mostafizur Rahman,"Nephrology (Kidney, Ureter, Urinary Bladder)","Assistant Register, Nephrologist, National Institute of Kidney Disease and Urology. MBBS, FCGP, PHD (Nephrology). Specialist in Physician Medicine and Kidney Diseases and Expert in Interventional Nephrology.","Comfort Diagnostic Centre & Comfort Nursing Home, Main Br.","Comfort Tower, 167/B, Green Road, Dhaka",N/A,"Thu, Fri, Sat",(Not Specified)
Dr. Md. Mostafizur Rahman,"Nephrology (Kidney, Ureter, Urinary Bladder)","Assistant Register, Nephrologist, National Institute of Kidney Disease and Urology. MBBS, FCGP, PHD (Nephrology). Specialist in Physician Medicine and Kidney Diseases and Expert in Interventional Nephrology.","Royal Multispeciality Hospital, Main Branch","20/3, Babor Road (Opposite to Kidney Hospital), Mohammadpur, Dhaka",N/A,(Not Specified),New: 700 TK. Returning: 500 TK.
Assoc. Prof. Dr. Kazi Shahnoor Alam,"Nephrology (Kidney, Ureter, Urinary Bladder)","Associate Professor, Dept. of Nephrology, National Institute of Kidney Diseases & Urology. MBBS, FCPS (Medicine), MD (Nephrology). Nephrology, Medicine and Kidney Diseases Expertise. Published author.",Comfort Doctors Chamber- 3,"(1st floor), Green Road, Dhaka",N/A,"Thu, Fri, Sat",New: 700 TK. Returning: 500 TK. Follow-up: 500 TK.
